
 
					TH				PH
				---------------------------	---------------------------
THETA      	PHI        	P.REAL     	P.IMAG     	P.REAL     	P.IMAG     
-----------	-----------	-----------	-----------	-----------	-----------
-180.000000	 0.000000	 0.008891	-0.006984	 0.000218	-0.000407
-180.000000	 5.000000	 0.008838	-0.006922	 0.000992	-0.001015
-180.000000	10.000000	 0.008718	-0.006807	 0.001759	-0.001614
-180.000000	15.000000	 0.008532	-0.006641	 0.002512	-0.002201
-180.000000	20.000000	 0.008280	-0.006423	 0.003246	-0.002772
-180.000000	25.000000	 0.007966	-0.006157	 0.003955	-0.003321
-180.000000	30.000000	 0.007591	-0.005845	 0.004634	-0.003845
-180.000000	35.000000	 0.007158	-0.005487	 0.005278	-0.004340
-180.000000	40.000000	 0.006671	-0.005088	 0.005882	-0.004801
-180.000000	45.000000	 0.006133	-0.004650	 0.006441	-0.005227
-180.000000	50.000000	 0.005548	-0.004177	 0.006951	-0.005612
-180.000000	55.000000	 0.004921	-0.003672	 0.007408	-0.005955
-180.000000	60.000000	 0.004257	-0.003139	 0.007809	-0.006252
-180.000000	65.000000	 0.003560	-0.002582	 0.008150	-0.006502
-180.000000	70.000000	 0.002836	-0.002006	 0.008429	-0.006702
-180.000000	75.000000	 0.002091	-0.001414	 0.008644	-0.006851
-180.000000	80.000000	 0.001329	-0.000811	 0.008794	-0.006949
-180.000000	85.000000	 0.000558	-0.000203	 0.008876	-0.006993
-180.000000	90.000000	-0.000218	 0.000408	 0.008891	-0.006984
-180.000000	95.000000	-0.000992	 0.001015	 0.008838	-0.006922
-180.000000	100.000000	-0.001758	 0.001614	 0.008718	-0.006807
-180.000000	105.000000	-0.002511	 0.002201	 0.008532	-0.006640
-180.000000	110.000000	-0.003245	 0.002772	 0.008280	-0.006423
-180.000000	115.000000	-0.003955	 0.003321	 0.007966	-0.006157
-180.000000	120.000000	-0.004634	 0.003845	 0.007591	-0.005845
-180.000000	125.000000	-0.005278	 0.004340	 0.007158	-0.005487
-180.000000	130.000000	-0.005882	 0.004802	 0.006671	-0.005088
-180.000000	135.000000	-0.006441	 0.005227	 0.006133	-0.004650
-180.000000	140.000000	-0.006951	 0.005612	 0.005548	-0.004177
-180.000000	145.000000	-0.007408	 0.005955	 0.004921	-0.003672
-180.000000	150.000000	-0.007809	 0.006252	 0.004257	-0.003139
-180.000000	155.000000	-0.008150	 0.006502	 0.003560	-0.002582
