NUMERO DE MUESTRAS EN EL ARGUMENTO 3 ............. :   37
NUMERO DE MUESTRAS EN EL ARGUMENTO 4 ............. :   72
NUMERO DE FRECUENCIAS MEDIDAS .................... :    1
EL FICHERO SE ESTRUCTURA EN CORTES DEL ARGUMENTO . : 3 == THETA          
CADA CORTE SE BARRE EN EL ARGUMENTO .............. : 4 == PHI            


===========================================================================
=========== BLOQUE CORRESPONDIENTE A LA FRECUENCIA  32.245     ============
===========================================================================

                                         E_PH                            E_PH                   
                                 ------------------------------- -------------------------------
 THETA           PHI                P. REAL       P. IMAGINARIA     P. REAL       P. IMAGINARIA 
 --------------- --------------- --------------- --------------- --------------- ---------------
  0.00000000      0.00000000      3.52462554      2.75794077    -0.350895040E-01-0.139839426E-01
  0.00000000      5.00000000      3.50815487      2.74622726    -0.342147142    -0.254301161    
  0.00000000      10.0000000      3.46498537      2.71361327    -0.646601200    -0.492682904    
  0.00000000      15.0000000      3.39544511      2.66034698    -0.946133792    -0.727315128    
  0.00000000      20.0000000      3.30006361      2.58683395     -1.23846614    -0.956411779    
  0.00000000      25.0000000      3.17956638      2.49363327     -1.52137280     -1.17822981    
  0.00000000      30.0000000      3.03487086      2.38145494     -1.79270113     -1.39108074    
  0.00000000      35.0000000      2.86707807      2.25115204     -2.05038571     -1.59334469    
  0.00000000      40.0000000      2.67746568      2.10371661     -2.29246569     -1.78348184    
  0.00000000      45.0000000      2.46747565      1.94027066     -2.51709867     -1.96004581    
  0.00000000      50.0000000      2.23870635      1.76205814     -2.72257543     -2.12169313    
  0.00000000      55.0000000      1.99289966      1.57043529     -2.90733123     -2.26719260    
  0.00000000      60.0000000      1.73192537      1.36686015     -3.06996059     -2.39543748    
  0.00000000      65.0000000      1.45777023      1.15288281     -3.20922565     -2.50545216    
  0.00000000      70.0000000      1.17252040     0.930131316     -3.32406664     -2.59639835    
  0.00000000      75.0000000     0.878347158     0.700300872     -3.41360927     -2.66758442    
  0.00000000      80.0000000     0.577488005     0.465140074     -3.47717214     -2.71847010    
  0.00000000      85.0000000     0.272235245     0.226439878     -3.51427174     -2.74866486    
  0.00000000      90.0000000    -0.350899100E-01-0.139835365E-01 -3.52462578     -2.75794077    
  0.00000000      95.0000000    -0.342147857    -0.254300952     -3.50815487     -2.74622750    
  0.00000000      100.000000    -0.646601737    -0.492682695     -3.46498585     -2.71361351    
  0.00000000      105.000000    -0.946134388    -0.727314830     -3.39544535     -2.66034698    
  0.00000000      110.000000     -1.23846674    -0.956411541     -3.30006361     -2.58683419    
  0.00000000      115.000000     -1.52137315     -1.17822969     -3.17956638     -2.49363327    
  0.00000000      120.000000     -1.79270124     -1.39108026     -3.03487110     -2.38145471    
  0.00000000      125.000000     -2.05038571     -1.59334433     -2.86707854     -2.25115132    
  0.00000000      130.000000     -2.29246616     -1.78348196     -2.67746568     -2.10371614    
  0.00000000      135.000000     -2.51709867     -1.96004617     -2.46747565     -1.94027019    
  0.00000000      140.000000     -2.72257519     -2.12169313     -2.23870635     -1.76205790    
  0.00000000      145.000000     -2.90733123     -2.26719308     -1.99289966     -1.57043469    
  0.00000000      150.000000     -3.06996059     -2.39543819     -1.73192525     -1.36686003    
  0.00000000      155.000000     -3.20922565     -2.50545239     -1.45777011     -1.15288246    
  0.00000000      160.000000     -3.32406712     -2.59639788     -1.17252100    -0.930131137    
  0.00000000      165.000000     -3.41361022     -2.66758418    -0.878347576    -0.700300753    
  0.00000000      170.000000     -3.47717333     -2.71846867    -0.577489316    -0.465140790    
  0.00000000      175.000000     -3.51427317     -2.74866343    -0.272236556    -0.226440698    
  0.00000000      180.000000     -3.52462721     -2.75793910     0.350884870E-01 0.139829284E-01
  0.00000000      185.000000     -3.50815654     -2.74622607     0.342146546     0.254299939    
  0.00000000      190.000000     -3.46498728     -2.71361208     0.646600723     0.492681414    
  0.00000000      195.000000     -3.39544678     -2.66034579     0.946133494     0.727313519    
  0.00000000      200.000000     -3.30006409     -2.58683348      1.23846650     0.956411362    
  0.00000000      205.000000     -3.17956686     -2.49363303      1.52137327      1.17822921    
  0.00000000      210.000000     -3.03487134     -2.38145471      1.79270172      1.39108002    
  0.00000000      215.000000     -2.86707807     -2.25115204      2.05038643      1.59334433    
  0.00000000      220.000000     -2.67746568     -2.10371661      2.29246664      1.78348184    
  0.00000000      225.000000     -2.46747541     -1.94027066      2.51709962      1.96004605    
  0.00000000      230.000000     -2.23870611     -1.76205790      2.72257566      2.12169313    
  0.00000000      235.000000     -1.99289930     -1.57043481      2.90733147      2.26719284    
  0.00000000      240.000000     -1.73192382     -1.36686015      3.06995964      2.39543986    
  0.00000000      245.000000     -1.45776880     -1.15288234      3.20922446      2.50545406    
  0.00000000      250.000000     -1.17251921    -0.930130780      3.32406569      2.59640050    
  0.00000000      255.000000    -0.878346145    -0.700300038      3.41360855      2.66758657    
  0.00000000      260.000000    -0.577488065    -0.465139955      3.47717118      2.71847081    
  0.00000000      265.000000    -0.272235364    -0.226439476      3.51427126      2.74866557    
  0.00000000      270.000000     0.350897051E-01 0.139840441E-01  3.52462554      2.75794172    
  0.00000000      275.000000     0.342147440     0.254301369      3.50815463      2.74622798    
  0.00000000      280.000000     0.646601140     0.492682695      3.46498585      2.71361351    
  0.00000000      285.000000     0.946133912     0.727314770      3.39544535      2.66034698    
  0.00000000      290.000000      1.23846638     0.956411660      3.30006385      2.58683443    
  0.00000000      295.000000      1.52137303      1.17822957      3.17956710      2.49363375    
  0.00000000      300.000000      1.79270124      1.39108026      3.03487110      2.38145494    
  0.00000000      305.000000      2.05038571      1.59334457      2.86707830      2.25115228    
  0.00000000      310.000000      2.29246593      1.78348219      2.67746520      2.10371709    
  0.00000000      315.000000      2.51709867      1.96004617      2.46747494      1.94027102    
  0.00000000      320.000000      2.72257495      2.12169480      2.23870468      1.76205838    
  0.00000000      325.000000      2.90733075      2.26719427      1.99289811      1.57043540    
  0.00000000      330.000000      3.06996036      2.39543962      1.73192382      1.36686051    
  0.00000000      335.000000      3.20922494      2.50545430      1.45776820      1.15288281    
  0.00000000      340.000000      3.32406616      2.59640074      1.17251885     0.930131137    
  0.00000000      345.000000      3.41360855      2.66758657     0.878345847     0.700300395    
  0.00000000      350.000000      3.47717214      2.71847081     0.577487767     0.465140373    
  0.00000000      355.000000      3.51427174      2.74866533     0.272235036     0.226439685    
  5.00000000      0.00000000      3.07190800      3.12552595    -0.333235525E-01-0.145777995E-01
  5.00000000      5.00000000      3.06709218      3.10272741    -0.357380271    -0.229659840    
  5.00000000      10.0000000      3.03886461      3.05658269    -0.680126846    -0.441198230    
  5.00000000      15.0000000      2.98715949      2.98765850    -0.999054253    -0.647573769    
  5.00000000      20.0000000      2.91210508      2.89670825     -1.31163394    -0.847252548    
  5.00000000      25.0000000      2.81403589      2.78465247     -1.61534119     -1.03880262    
  5.00000000      30.0000000      2.69350362      2.65256405     -1.90767908     -1.22090566    
  5.00000000      35.0000000      2.55127811      2.50164485     -2.18620825     -1.39236760    
  5.00000000      40.0000000      2.38834953      2.33321071     -2.44857407     -1.55211973    
  5.00000000      45.0000000      2.20592189      2.14866495     -2.69253421     -1.69922411    
  5.00000000      50.0000000      2.00540519      1.94948649     -2.91599035     -1.83286524    
  5.00000000      55.0000000      1.78840208      1.73720765     -3.11701155     -1.95234656    
  5.00000000      60.0000000      1.55668867      1.51340318     -3.29386139     -2.05708265    
  5.00000000      65.0000000      1.31219637      1.27967787     -3.44501948     -2.14658761    
  5.00000000      70.0000000      1.05698991      1.03765631     -3.56920028     -2.22046471    
  5.00000000      75.0000000     0.793241680     0.788974702     -3.66536808     -2.27839708    
  5.00000000      80.0000000     0.523205042     0.535280406     -3.73275185     -2.32013369    
  5.00000000      85.0000000     0.249192804     0.278226882     -3.77084994     -2.34547877    
  5.00000000      90.0000000    -0.264621414E-01 0.194777790E-01 -3.77943826     -2.35428929    
  5.00000000      95.0000000    -0.301428586    -0.239293024     -3.75856328     -2.34646916    
  5.00000000      100.000000    -0.573412538    -0.496394664     -3.70854068     -2.32197022    
  5.00000000      105.000000    -0.840181231    -0.750119209     -3.62993431     -2.28080010    
  5.00000000      110.000000     -1.09959221    -0.998738766     -3.52354455     -2.22303605    
  5.00000000      115.000000     -1.34960508     -1.24051273     -3.39038038     -2.14883876    
  5.00000000      120.000000     -1.58830106     -1.47369611     -3.23163891     -2.05847096    
  5.00000000      125.000000     -1.81388235     -1.69655478     -3.04868293     -1.95231616    
  5.00000000      130.000000     -2.02467752     -1.90738368     -2.84302592     -1.83088911    
  5.00000000      135.000000     -2.21913671     -2.10452867     -2.61631799     -1.69484949    
  5.00000000      140.000000     -2.39583778     -2.28641081     -2.37034440     -1.54500163    
  5.00000000      145.000000     -2.55348587     -2.45154476     -2.10701609     -1.38229573    
  5.00000000      150.000000     -2.69092488     -2.59855986     -1.82837272     -1.20782089    
  5.00000000      155.000000     -2.80714869     -2.72621655     -1.53657341     -1.02279365    
  5.00000000      160.000000     -2.90131950     -2.83341885     -1.23388731    -0.828545868    
  5.00000000      165.000000     -2.97277713     -2.91922736    -0.922673941    -0.626509368    
  5.00000000      170.000000     -3.02105713     -2.98286486    -0.605364859    -0.418198287    
  5.00000000      175.000000     -3.04589391     -3.02372384    -0.284434766    -0.205193013    
  5.00000000      180.000000     -3.04722524     -3.04136968     0.376248062E-01 0.108781131E-01
  5.00000000      185.000000     -3.02518582     -3.03554225     0.358331621     0.228353128    
  5.00000000      190.000000     -2.98010659     -3.00615478     0.675237417     0.445549786    
  5.00000000      195.000000     -2.91250086     -2.95329213     0.985946953     0.660778999    
  5.00000000      200.000000     -2.82305717     -2.87721205      1.28814173     0.872349560    
  5.00000000      205.000000     -2.71263194     -2.77833986      1.57959187      1.07857311    
  5.00000000      210.000000     -2.58223081     -2.65727901      1.85818243      1.27777529    
  5.00000000      215.000000     -2.43299890     -2.51480842      2.12192392      1.46829808    
  5.00000000      220.000000     -2.26619959     -2.35189056      2.36896992      1.64851367    
  5.00000000      225.000000     -2.08319831     -2.16967225      2.59762836      1.81683922    
